293660|55252
246655|9032
269149|76595
269149|165787
269149|1318201
271110|19271
271110|19272
205584|21085
140607|15344
299687|111588
273248|138
321741|1192754
100402|19272
100402|19271
267860|132239
1771|4945
321258|62768
329833|7399
153518|1281387
153518|52701
127585|9032
259694|63820
281957|223
135397|930707
209112|15217
392536|105642
76341|20629
102899|59026
310131|138781
87101|47005
270487|1223
270487|1224
368596|7466
333371|568322
167073|77269
241259|26205
68735|81850
157336|525
334074|11266
329440|1300274
131631|10943
339547|507842
339547|507840
335778|8300
99861|12891
118340|15218
384798|1583529
146198|53333
262500|57270
72784|82418
346651|146836
131634|10943
206647|39
76338|47005
300673|50767
241251|18878
318917|928146
362703|1027173
274504|1179828
286217|578
122917|108
276905|1448215
245891|40644
245891|40684
347969|57370
294963|1018106
301608|1456241
301608|555665
211672|8023
211672|124747
376570|551463
291870|6733
278927|15277
105864|21198
348811|63477
155|525
312221|1056121
150540|12890
150540|225987
300671|865
11|1
24428|12891
362434|92591
19995|2710
174751|77003
240832|59
290250|1108
291270|1019303
291270|202
205596|77965
290595|1454884
337339|37932
210577|7467
296100|56661
323675|20400
336808|122785
140300|142312
140300|1262481
198184|82194
318846|55710
254128|132876
244786|136495
168259|2127
91314|865
198663|1179066
271718|41039
284053|55934
120|108
1726|15277
194662|223
276907|4723
10681|7
158852|7087
