293660|306
293660|325
293660|19551
246655|7392
246655|7505
246655|9168
246655|22213
269149|2
269149|6125
271110|420
205584|491
205584|908
205584|3528
140607|1
140607|1634
140607|11461
299687|5
299687|3281
299687|12139
299687|34034
273248|215
273248|308
273248|1811
321741|79
321741|1645
321741|34034
321741|71170
321741|71171
100402|420
267860|10254
267860|73045
267860|73046
1771|420
321258|126
321258|829
321258|2912
321258|18880
321258|47729
329833|4
329833|258
329833|12178
153518|2251
153518|30692
153518|50848
127585|306
127585|431
127585|7505
127585|9168
127585|22213
127585|37336
127585|76043
259694|12
259694|2214
259694|6127
281957|25
281957|508
281957|28732
135397|13
135397|56
135397|923
135397|3341
135397|6452
209112|429
209112|507
209112|6194
209112|9993
209112|9995
209112|41624
76341|79
76341|2537
102899|420
310131|6531
310131|30666
310131|34456
310131|41077
87101|4
87101|6277
270487|33
270487|2092
270487|10163
333371|4
333371|11461
167073|1508
167073|5267
167073|7177
167073|16486
241259|2
241259|598
241259|16314
68735|33
68735|507
68735|923
68735|16028
157336|4
157336|923
157336|6194
157336|9996
157336|13769
334074|925
334074|8880
334074|10254
334074|54409
329440|32300
329440|51860
131631|1632
131631|5420
339547|7662
335778|5
335778|10156
335778|10285
335778|59827
99861|420
99861|15357
99861|76043
118340|420
118340|19551
118340|20478
118340|54850
118340|76043
384798|10393
146198|9015
146198|30420
146198|73493
262500|491
262500|10227
262500|14440
262500|24097
72784|1786
72784|10039
72784|10427
346651|5124
346651|56698
346651|56699
131634|264
131634|1632
131634|5420
131634|76043
206647|5
206647|10761
206647|69434
76338|420
300673|2
300673|51164
241251|33
241251|1620
241251|3172
241251|44783
318917|47
362703|71890
362703|71891
274504|8924
274504|50478
286217|306
286217|1645
286217|2735
286217|6408
286217|22213
286217|28788
122917|11
122917|12
122917|7413
122917|8411
276905|1632
276905|67327
276905|72280
276905|72281
245891|3528
245891|6194
245891|23008
245891|36259
245891|36433
347969|2608
294963|11049
301608|40797
301608|41511
301608|51525
301608|51526
301608|76991
301608|76992
211672|33
376570|1224
376570|3172
291870|1632
291870|11029
291870|28200
278927|2
278927|7297
105864|2
105864|3
105864|32
348811|23688
348811|59023
348811|59024
348811|63443
155|429
155|923
155|6194
155|9996
312221|12
312221|6194
312221|8411
312221|12252
150540|2
150540|3
300671|4
300671|787
300671|6734
300671|19108
300671|19477
11|1
11|306
24428|420
362434|7119
19995|25
19995|289
19995|444
19995|574
174751|8873
174751|13242
174751|13403
174751|14358
174751|14359
240832|33
240832|3823
240832|5358
240832|6896
240832|23616
290250|1885
290250|22842
291270|32542
205596|22146
205596|38145
290595|33
290595|16314
337339|33
337339|333
210577|306
210577|508
210577|10104
210577|15829
210577|22213
210577|60682
210577|76043
296100|34
296100|16615
296100|17393
323675|33
323675|2780
323675|49968
336808|2586
336808|44391
336808|51701
336808|72691
336808|72692
336808|72693
336808|72694
140300|521
140300|40890
140300|76266
198184|5
198184|2531
198184|7431
198184|18209
198184|28788
198184|31076
198184|34034
198184|53638
318846|4
318846|508
318846|45778
254128|12
254128|79
254128|6194
254128|34081
244786|2266
244786|3172
244786|32157
168259|33
168259|333
168259|2531
168259|6452
168259|7154
168259|40890
91314|4
91314|56
91314|435
91314|2481
91314|2598
91314|11413
91314|38833
91314|76043
198663|25
198663|290
198663|3672
198663|8569
198663|12292
198663|22213
271718|33
271718|3341
271718|6452
271718|10105
284053|420
284053|7505
120|11
120|12
120|5237
1726|420
194662|9015
194662|10104
194662|22213
194662|47169
194662|52660
276907|10163
276907|10246
276907|20664
10681|2
10681|3
158852|2
158852|20656
158852|59778
