138|Quentin Tarantino
56661|Jonathan Levine
8023|Kyle Balda
77003|Gavin O'Connor
53333|John Hillcoat
132876|Brad Peyton
111588|J Blakeson
1223|Joel Coen
1281387|Clay Kaytis
138781|Robert Eggers
57370|Frank Coraci
1018106|S. Craig Zahler
37932|F. Gary Gray
62768|William Brent Bell
20400|Tim Story
77269|John Crowley
4723|Brian Helgeland
52701|Fergal Reilly
40644|Chad Stahelski
124747|Pierre Coffin
223|Alejandro González Iñárritu
578|Ridley Scott
1179828|Pamela Romanowsky
55252|Tim Miller
11266|James McTeigue
202|Charlie Kaufman
1192754|Peter Landesman
15344|J.J. Abrams
105642|Rick Morales
1454884|Cedric Nicolas-Troyan
568322|Dan Trachtenberg
108|Peter Jackson
82194|Neill Blomkamp
1056121|Ryan Coogler
1300274|Jason Zada
9032|Bryan Singer
7|Andrew Stanton
1224|Ethan Coen
4945|Joe Johnston
8300|Kevin Reynolds
142312|Jennifer Yuh
7466|Paul Borghese
82418|Erik Van Looy
50767|Craig Gillespie
865|Michael Bay
40684|David Leitch
122785|Ciro Guerra
55710|Adam McKay
507840|Yoav Paz
55934|Taika Waititi
15217|Zack Snyder
507842|Doron Paz
6733|Dan Mazer
1|George Lucas
1027173|Lawrence Roeck
76595|Byron Howard
19271|Anthony Russo
132239|Babak Najafi
81850|Duncan Jones
20629|George Miller
63477|Ryan Little
2710|James Cameron
15218|James Gunn
1318201|Jared Bush
1448215|Trevor Wall
1456241|Alex Brewer
525|Christopher Nolan
225987|Ronaldo Del Carmen
57270|Robert Schwentke
928146|David Wnendt
165787|Rich Moore
39|Sam Mendes
41039|Judd Apatow
930707|Colin Trevorrow
26205|James Bobin
18878|Rob Cohen
59|Luc Besson
21085|Alex Proyas
21198|Peter Sohn
92591|Peter Sullivan
19272|Joe Russo
12891|Joss Whedon
2127|James Wan
77965|Morten Tyldum
7467|David Fincher
1583529|Steven Gomez
7399|Ben Stiller
551463|Mike Flanagan
555665|Benjamin Brewer
63820|Christian Ditter
146836|John Suits
1262481|Alessandro Carloni
1108|Shane Black
12890|Pete Docter
10943|Francis Lawrence
1179066|Wes Ball
15277|Jon Favreau
47005|Alan Taylor
1019303|Duke Johnson
136495|Damien Chazelle
7087|Brad Bird
59026|Peyton Reed
